Type,water- liters.day,Growth_Season,Temperature_C,Pot_Size,Light_Type,Soil_Type,Growth_Requirements,Care_Instructions,Water.ml_Notif/day,Growth_Tracker,Benefit
مورينغا صحراوي (Moringa - Desert),2.02,Summer,Oct-28,ground,Full sun,Loamy,Support stems/trellis,Keep soil evenly moist,2020,Medium (60%),Purify air and absorb pollutants
تين شوكي ساحلي (Prickly pear - Coastal),2.99,Autumn,17-35,ground,Partial shade,Sandy loam,Regular watering,Protect from frost,2990,Medium-Fast (70%),High in vitamin C and antioxidants
برتقال مر قزمي (Bitter orange - Dwarf),2.78,Autumn,Oct-29,ground,Partial shade,Clay,Regular watering,Trim regularly for shape,2780,Slow (40%),Provides hydration and natural energy
زيتون عطر الأوراق (Olive - Aromatic Leaves),2.81,Winter,14-27,ground,Indirect light,Loamy,Mulch to retain moisture,Protect from frost,2810,Fast (80%),Enhance biodiversity and store carbon
سدر ساحلي (Ziziphus - Coastal),2.47,Winter,Nov-25,large,Indirect light,Sandy,Mulch to retain moisture,"Water at base, not foliage",2470,Medium (60%),Attracts pollinators and supports biodiversity
ليمون يوسفي ظل كثيف (Lime - Dense Shade),0.62,Winter,Nov-28,medium,Indirect light,Sandy loam,Mulch to retain moisture,Keep soil evenly moist,620,Slow (40%),Used in cooking as natural seasoning
نخيل صحراوي (Date palm - Desert),0.63,Autumn,14-28,large,Partial shade,Clay,Mulch to retain moisture,"Water at base, not foliage",630,Fast (80%),Enhance biodiversity and store carbon
مورينغا عملاق (Moringa - Giant),2.71,Winter,Nov-22,ground,Partial shade,Loamy,Fertilize monthly,Trim regularly for shape,2710,Medium-Fast (70%),Support ecosystems and reduce global warming
أكاسيا صحراوي (Acacia - Desert),1.01,Summer,Oct-23,large,Full sun,Clay,Regular watering,"Water at base, not foliage",1010,Medium (60%),Support ecosystems and reduce global warming
بلوط جبلي (Oak - Mountain),1.28,Autumn,Oct-23,medium,Full sun,Loamy,Support stems/trellis,"Water at base, not foliage",1280,Medium (60%),Enhance biodiversity and store carbon
غاف متساقط (Prosopis - Deciduous),1.65,Winter,20-29,ground,Partial shade,Sandy loam,Deadhead spent blooms,Protect from frost,1650,Fast (80%),Natural source of fiber for better digestion
جكراندا صحراوي (Jacaranda - Desert),0.43,Spring,Dec-28,medium,Indirect light,Clay,Deadhead spent blooms,Avoid overwatering,430,Medium-Fast (70%),Boosts immunity and improves skin health
ليمون يوسفي متساقط (Lime - Deciduous),0.93,Summer,20-31,large,Partial shade,Sandy loam,Deadhead spent blooms,Avoid overwatering,930,Medium-Fast (70%),Promote satiety and support weight control
برتقال مر متساقط (Bitter orange - Deciduous),2.17,Spring,Oct-22,large,Partial shade,Loamy,Mulch to retain moisture,"Water at base, not foliage",2170,Medium (60%),Contains beneficial natural sugars
تفاح بري عطر الأوراق (Crabapple - Aromatic Leaves),0.76,Autumn,17-24,ground,Partial shade,Sandy loam,Support stems/trellis,Trim regularly for shape,760,Fast (80%),Provides hydration and natural energy
سرو قزمي (Cypress - Dwarf),1.2,Summer,20-24,medium,Full sun,Loamy,Deadhead spent blooms,Protect from frost,1200,Fast (80%),Support ecosystems and reduce global warming
كافور ظل كثيف (Eucalyptus - Dense Shade),0.62,Summer,19-26,medium,Partial shade,Sandy loam,Mulch to retain moisture,"Water at base, not foliage",620,Medium-Fast (70%),Purify air and absorb pollutants
برتقال مر أخضر دائم (Bitter orange - Evergreen),1.3,Summer,18-23,large,Partial shade,Loamy,Support stems/trellis,Protect from frost,1300,Medium-Fast (70%),Contains beneficial natural sugars
تفاح بري عملاق (Crabapple - Giant),2.24,Spring,18-22,ground,Partial shade,Clay,Deadhead spent blooms,Keep soil evenly moist,2240,Medium-Fast (70%),Provides hydration and natural energy
مورينغا قزمي (Moringa - Dwarf),1.66,Summer,16-25,large,Partial shade,Sandy loam,Fertilize monthly,Avoid overwatering,1660,Slow (40%),Purify air and absorb pollutants
صفصاف بلدي (Willow - Native),0.3,Autumn,20-31,large,Full sun,Well-drained,Regular watering,Protect from frost,300,Medium (60%),Prevent soil erosion and retain moisture
برقوق بري عطر الأوراق (Wild plum - Aromatic Leaves),2.63,Winter,14-31,ground,Partial shade,Sandy loam,Support stems/trellis,Keep soil evenly moist,2630,Medium-Fast (70%),Promote satiety and support weight control
سدر جبلي (Ziziphus - Mountain),1.58,Winter,17-31,ground,Partial shade,Sandy loam,Fertilize monthly,Protect from frost,1580,Slow (40%),Attracts pollinators and supports biodiversity
برقوق بري بلدي (Wild plum - Native),1.39,Spring,13-36,ground,Partial shade,Loamy,Support stems/trellis,Avoid overwatering,1390,Fast (80%),Soothing and antimicrobial properties
نخيل قزمي (Date palm - Dwarf),1.16,Spring,17-32,medium,Full sun,Sandy loam,Mulch to retain moisture,Keep soil evenly moist,1160,Medium (60%),Support ecosystems and reduce global warming
نخيل جبلي (Date palm - Mountain),2.68,Winter,Oct-23,medium,Full sun,Loamy,Regular watering,Protect from frost,2680,Fast (80%),Prevent soil erosion and retain moisture
برتقال مر سريع النمو (Bitter orange - Fast Growing),0.81,Summer,20-31,large,Full sun,Loamy,Fertilize monthly,Trim regularly for shape,810,Slow (40%),Boosts immunity and improves skin health
مانغروف عملاق (Mangrove - Giant),0.98,Summer,16-27,medium,Partial shade,Loamy,Regular watering,Trim regularly for shape,980,Fast (80%),Purify air and absorb pollutants
صنوبر ساحلي (Pine - Coastal),0.77,Winter,13-26,medium,Indirect light,Sandy,Support stems/trellis,Trim regularly for shape,770,Medium (60%),Purify air and absorb pollutants
صفصاف عملاق (Willow - Giant),1.51,Spring,Dec-22,ground,Full sun,Clay,Mulch to retain moisture,Keep soil evenly moist,1510,Medium-Fast (70%),Support ecosystems and reduce global warming
قيقب قزمي (Maple - Dwarf),0.42,Winter,13-36,ground,Partial shade,Sandy loam,Regular watering,Trim regularly for shape,420,Medium (60%),Prevent soil erosion and retain moisture
بلوط ساحلي (Oak - Coastal),1.97,Winter,18-36,large,Full sun,Well-drained,Fertilize monthly,Avoid overwatering,1970,Slow (40%),Purify air and absorb pollutants
تبشيريا بلدي (Jacaranda - Native),0.61,Winter,Oct-32,ground,Full sun,Well-drained,Deadhead spent blooms,"Water at base, not foliage",610,Medium-Fast (70%),Support heart health and lower cholesterol
سرو سريع النمو (Cypress - Fast Growing),1.79,Spring,19-32,large,Indirect light,Sandy loam,Regular watering,"Water at base, not foliage",1790,Fast (80%),Prevent soil erosion and retain moisture
غاف صحراوي (Prosopis - Desert),1.11,Summer,17-33,medium,Indirect light,Loamy,Fertilize monthly,"Water at base, not foliage",1110,Slow (40%),Improves mood and well-being
برتقال مر عطر الأوراق (Bitter orange - Aromatic Leaves),1.69,Winter,16-23,large,Full sun,Sandy,Regular watering,Trim regularly for shape,1690,Slow (40%),Contains beneficial natural sugars
سدر ظل كثيف (Ziziphus - Dense Shade),1.21,Summer,Dec-22,ground,Partial shade,Well-drained,Support stems/trellis,"Water at base, not foliage",1210,Slow (40%),Low in calories and ideal for diets
مانغروف ظل كثيف (Mangrove - Dense Shade),2.67,Winter,14-36,large,Partial shade,Loamy,Support stems/trellis,Trim regularly for shape,2670,Medium (60%),Prevent soil erosion and retain moisture
تين شوكي عملاق (Prickly pear - Giant),2.95,Autumn,14-24,ground,Indirect light,Sandy loam,Regular watering,Protect from frost,2950,Fast (80%),Contains beneficial natural sugars
تبشيريا عطر الأوراق (Jacaranda - Aromatic Leaves),0.99,Summer,19-24,ground,Partial shade,Loamy,Fertilize monthly,"Water at base, not foliage",990,Medium (60%),Natural source of fiber for better digestion
جكراندا متساقط (Jacaranda - Deciduous),0.57,Spring,Nov-24,large,Partial shade,Sandy,Fertilize monthly,Protect from frost,570,Medium (60%),Contains beneficial natural sugars
تفاح بري ساحلي (Crabapple - Coastal),2.03,Summer,17-33,ground,Indirect light,Loamy,Deadhead spent blooms,"Water at base, not foliage",2029,Slow (40%),Boosts immunity and improves skin health
تين شوكي جبلي (Prickly pear - Mountain),1.94,Winter,Dec-36,ground,Full sun,Well-drained,Support stems/trellis,Avoid overwatering,1940,Fast (80%),Helps prevent chronic diseases
برقوق بري جبلي (Wild plum - Mountain),1.19,Spring,18-32,large,Indirect light,Clay,Fertilize monthly,Protect from frost,1190,Medium (60%),Used in cooking as natural seasoning
برتقال مر بلدي (Bitter orange - Native),1.88,Summer,15-22,large,Indirect light,Sandy loam,Mulch to retain moisture,"Water at base, not foliage",1880,Slow (40%),Helps prevent chronic diseases
نخيل ساحلي (Date palm - Coastal),0.8,Summer,15-28,medium,Indirect light,Loamy,Fertilize monthly,Trim regularly for shape,800,Slow (40%),Enhance biodiversity and store carbon
نخيل أخضر دائم (Date palm - Evergreen),2.31,Autumn,18-26,ground,Indirect light,Well-drained,Mulch to retain moisture,Protect from frost,2310,Fast (80%),Enhance biodiversity and store carbon
زيتون ظل كثيف (Olive - Dense Shade),2.75,Autumn,Oct-36,ground,Indirect light,Well-drained,Fertilize monthly,Protect from frost,2750,Fast (80%),Provide shade and cool the environment
كافور أخضر دائم (Eucalyptus - Evergreen),2.01,Winter,16-26,medium,Partial shade,Sandy loam,Fertilize monthly,Protect from frost,2009,Slow (40%),Prevent soil erosion and retain moisture
بلوط قزمي (Oak - Dwarf),1.16,Winter,14-35,medium,Indirect light,Well-drained,Mulch to retain moisture,"Water at base, not foliage",1160,Medium (60%),Support ecosystems and reduce global warming
صنوبر صحراوي (Pine - Desert),2.14,Winter,17-23,medium,Indirect light,Loamy,Fertilize monthly,Avoid overwatering,2140,Fast (80%),Support ecosystems and reduce global warming
صنوبر قزمي (Pine - Dwarf),1.17,Spring,16-32,ground,Indirect light,Sandy,Mulch to retain moisture,Protect from frost,1170,Fast (80%),Enhance biodiversity and store carbon
مانغروف جبلي (Mangrove - Mountain),1.77,Spring,17-36,ground,Partial shade,Clay,Regular watering,Trim regularly for shape,1770,Medium (60%),Purify air and absorb pollutants
سدر سريع النمو (Ziziphus - Fast Growing),2.53,Summer,13-27,ground,Full sun,Sandy loam,Deadhead spent blooms,Trim regularly for shape,2530,Medium (60%),Boosts immunity and improves skin health
صنوبر جبلي (Pine - Mountain),2.76,Winter,13-32,medium,Indirect light,Loamy,Support stems/trellis,Keep soil evenly moist,2760,Medium-Fast (70%),Support ecosystems and reduce global warming
برقوق بري ظل كثيف (Wild plum - Dense Shade),0.49,Winter,Dec-33,ground,Partial shade,Well-drained,Mulch to retain moisture,Trim regularly for shape,490,Fast (80%),Purify air and absorb pollutants
أكاسيا بلدي (Acacia - Native),1.76,Autumn,19-27,large,Indirect light,Clay,Mulch to retain moisture,Trim regularly for shape,1760,Medium (60%),Support ecosystems and reduce global warming
تفاح بري جبلي (Crabapple - Mountain),2.47,Autumn,18-22,ground,Partial shade,Sandy,Mulch to retain moisture,Protect from frost,2470,Fast (80%),Provides hydration and natural energy
قيقب أخضر دائم (Maple - Evergreen),2.64,Spring,15-36,ground,Indirect light,Clay,Regular watering,Avoid overwatering,2640,Medium-Fast (70%),Purify air and absorb pollutants
زيتون قزمي (Olive - Dwarf),0.45,Summer,13-36,medium,Indirect light,Sandy,Mulch to retain moisture,Avoid overwatering,450,Medium-Fast (70%),Purify air and absorb pollutants
غاف سريع النمو (Prosopis - Fast Growing),2.4,Spring,Dec-31,medium,Partial shade,Clay,Mulch to retain moisture,Avoid overwatering,2400,Slow (40%),Provides hydration and natural energy
بلوط عملاق (Oak - Giant),2.81,Autumn,19-23,large,Indirect light,Sandy loam,Deadhead spent blooms,"Water at base, not foliage",2810,Medium-Fast (70%),Support ecosystems and reduce global warming
تبشيريا ظل كثيف (Jacaranda - Dense Shade),0.9,Autumn,15-28,large,Full sun,Loamy,Support stems/trellis,"Water at base, not foliage",900,Fast (80%),Supports heart and vascular health
مورينغا أخضر دائم (Moringa - Evergreen),0.6,Spring,Nov-32,large,Indirect light,Loamy,Regular watering,"Water at base, not foliage",600,Medium (60%),Support ecosystems and reduce global warming
تين شوكي أخضر دائم (Prickly pear - Evergreen),1.09,Winter,14-34,large,Full sun,Clay,Regular watering,Trim regularly for shape,1090,Slow (40%),Helps prevent chronic diseases
ليمون يوسفي أخضر دائم (Lime - Evergreen),2.08,Autumn,16-31,medium,Indirect light,Sandy,Fertilize monthly,"Water at base, not foliage",2080,Fast (80%),High in vitamin C and antioxidants
ليمون يوسفي صحراوي (Lime - Desert),2.09,Summer,16-22,ground,Indirect light,Sandy,Mulch to retain moisture,Protect from frost,2090,Medium (60%),Prevent soil erosion and retain moisture
سدر عملاق (Ziziphus - Giant),2.75,Autumn,16-24,medium,Indirect light,Well-drained,Deadhead spent blooms,Avoid overwatering,2750,Fast (80%),Used in cooking as natural seasoning
قيقب سريع النمو (Maple - Fast Growing),2,Spring,13-32,large,Indirect light,Sandy loam,Deadhead spent blooms,Keep soil evenly moist,2000,Slow (40%),Prevent soil erosion and retain moisture
تبشيريا قزمي (Jacaranda - Dwarf),2.68,Winter,Oct-30,medium,Full sun,Loamy,Mulch to retain moisture,"Water at base, not foliage",2680,Fast (80%),Fix nitrogen and enrich soil fertility
سدر أخضر دائم (Ziziphus - Evergreen),2.45,Autumn,17-24,ground,Partial shade,Well-drained,Fertilize monthly,Trim regularly for shape,2450,Slow (40%),Promote satiety and support weight control
صفصاف قزمي (Willow - Dwarf),1.89,Spring,20-31,large,Indirect light,Sandy,Regular watering,Avoid overwatering,1890,Medium-Fast (70%),Provide shade and cool the environment
صفصاف متساقط (Willow - Deciduous),1.17,Summer,16-23,ground,Indirect light,Loamy,Fertilize monthly,Protect from frost,1170,Fast (80%),Prevent soil erosion and retain moisture
سدر بلدي (Ziziphus - Native),1.41,Summer,13-28,large,Full sun,Sandy loam,Support stems/trellis,Keep soil evenly moist,1410,Slow (40%),Some species purify indoor air
تبشيريا عملاق (Jacaranda - Giant),0.96,Winter,18-24,medium,Indirect light,Sandy loam,Support stems/trellis,Protect from frost,960,Medium-Fast (70%),Improves mood and well-being
مانغروف قزمي (Mangrove - Dwarf),1.79,Winter,Nov-28,large,Partial shade,Sandy,Regular watering,Protect from frost,1790,Medium (60%),Prevent soil erosion and retain moisture
كافور جبلي (Eucalyptus - Mountain),2.69,Winter,16-33,medium,Full sun,Clay,Mulch to retain moisture,Keep soil evenly moist,2690,Slow (40%),Enhance biodiversity and store carbon
جكراندا أخضر دائم (Jacaranda - Evergreen),0.55,Spring,19-33,medium,Indirect light,Sandy loam,Regular watering,"Water at base, not foliage",550,Medium-Fast (70%),Improves mood and well-being
ليمون يوسفي جبلي (Lime - Mountain),1.06,Summer,15-26,ground,Full sun,Well-drained,Support stems/trellis,"Water at base, not foliage",1060,Fast (80%),Used in perfumes and decoration
جكراندا جبلي (Jacaranda - Mountain),1.77,Summer,20-25,medium,Indirect light,Well-drained,Regular watering,Keep soil evenly moist,1770,Fast (80%),Helps prevent chronic diseases
تين شوكي صحراوي (Prickly pear - Desert),0.86,Spring,Oct-24,large,Partial shade,Loamy,Regular watering,Trim regularly for shape,860,Medium-Fast (70%),Helps prevent chronic diseases
جكراندا ظل كثيف (Jacaranda - Dense Shade),1.73,Winter,19-30,large,Full sun,Sandy loam,Regular watering,Trim regularly for shape,1730,Medium-Fast (70%),Natural source of fiber for better digestion
ليمون يوسفي عملاق (Lime - Giant),2.1,Winter,13-23,ground,Partial shade,Loamy,Deadhead spent blooms,Trim regularly for shape,2100,Slow (40%),Support heart health and lower cholesterol
تفاح بري أخضر دائم (Crabapple - Evergreen),2.07,Summer,18-24,large,Full sun,Sandy loam,Fertilize monthly,Keep soil evenly moist,2070,Fast (80%),Contains beneficial natural sugars
غاف أخضر دائم (Prosopis - Evergreen),2.2,Autumn,16-22,medium,Indirect light,Clay,Fertilize monthly,Protect from frost,2200,Medium (60%),Some species purify indoor air
مانغروف أخضر دائم (Mangrove - Evergreen),1.37,Winter,19-28,ground,Full sun,Loamy,Regular watering,Keep soil evenly moist,1370,Slow (40%),Provide shade and cool the environment
تفاح بري ظل كثيف (Crabapple - Dense Shade),2.92,Autumn,13-27,ground,Full sun,Well-drained,Support stems/trellis,Trim regularly for shape,2920,Fast (80%),Provides hydration and natural energy
مورينغا جبلي (Moringa - Mountain),1.77,Summer,Oct-29,medium,Partial shade,Sandy,Mulch to retain moisture,Trim regularly for shape,1770,Slow (40%),Support ecosystems and reduce global warming
جكراندا عملاق (Jacaranda - Giant),1.89,Winter,19-26,large,Partial shade,Well-drained,Support stems/trellis,"Water at base, not foliage",1890,Medium-Fast (70%),Helps prevent chronic diseases
زيتون بلدي (Olive - Native),1.97,Winter,18-26,medium,Indirect light,Sandy,Mulch to retain moisture,Protect from frost,1970,Medium-Fast (70%),Enhance biodiversity and store carbon
سدر صحراوي (Ziziphus - Desert),2.18,Summer,19-30,medium,Indirect light,Clay,Fertilize monthly,"Water at base, not foliage",2180,Medium-Fast (70%),Used in traditional herbal medicine
جكراندا بلدي (Jacaranda - Native),1.22,Autumn,14-25,medium,Full sun,Well-drained,Deadhead spent blooms,Protect from frost,1220,Fast (80%),Provide shade and cool the environment
غاف ظل كثيف (Prosopis - Dense Shade),1.67,Summer,20-28,ground,Partial shade,Loamy,Support stems/trellis,"Water at base, not foliage",1670,Medium (60%),Improves mood and well-being
تبشيريا جبلي (Jacaranda - Mountain),2.44,Winter,Oct-35,large,Full sun,Clay,Deadhead spent blooms,Protect from frost,2440,Medium (60%),Contains beneficial natural sugars
مانغروف بلدي (Mangrove - Native),2.33,Spring,18-29,medium,Partial shade,Sandy loam,Mulch to retain moisture,Keep soil evenly moist,2330,Medium (60%),Support ecosystems and reduce global warming
زيتون سريع النمو (Olive - Fast Growing),2.24,Winter,20-35,medium,Partial shade,Sandy,Fertilize monthly,Avoid overwatering,2240,Medium (60%),Prevent soil erosion and retain moisture
مورينغا سريع النمو (Moringa - Fast Growing),1.78,Autumn,13-28,ground,Partial shade,Sandy,Fertilize monthly,"Water at base, not foliage",1780,Medium-Fast (70%),Enhance biodiversity and store carbon
بلوط ظل كثيف (Oak - Dense Shade),1.26,Spring,Oct-23,large,Full sun,Well-drained,Deadhead spent blooms,Keep soil evenly moist,1260,Medium (60%),Enhance biodiversity and store carbon
صفصاف صحراوي (Willow - Desert),0.49,Autumn,14-29,large,Partial shade,Sandy loam,Fertilize monthly,Avoid overwatering,490,Medium (60%),Purify air and absorb pollutants
جكراندا ساحلي (Jacaranda - Coastal),1.28,Summer,13-34,ground,Full sun,Clay,Support stems/trellis,"Water at base, not foliage",1280,Medium-Fast (70%),Supports heart and vascular health
مورينغا بلدي (Moringa - Native),2.14,Autumn,18-25,ground,Indirect light,Well-drained,Regular watering,Trim regularly for shape,2140,Slow (40%),Provide shade and cool the environment
بلوط سريع النمو (Oak - Fast Growing),1.74,Summer,Oct-32,large,Partial shade,Clay,Regular watering,Trim regularly for shape,1740,Medium-Fast (70%),Prevent soil erosion and retain moisture
أكاسيا أخضر دائم (Acacia - Evergreen),1.22,Summer,14-30,ground,Full sun,Loamy,Fertilize monthly,Protect from frost,1220,Slow (40%),Provide shade and cool the environment
بلوط أخضر دائم (Oak - Evergreen),2.92,Winter,14-35,ground,Full sun,Clay,Deadhead spent blooms,"Water at base, not foliage",2920,Medium (60%),Provide shade and cool the environment
غاف بلدي (Prosopis - Native),2.61,Spring,17-24,ground,Full sun,Sandy,Fertilize monthly,Protect from frost,2610,Fast (80%),High in plant-based protein
أكاسيا ظل كثيف (Acacia - Dense Shade),1.6,Winter,14-29,medium,Full sun,Clay,Support stems/trellis,Keep soil evenly moist,1600,Fast (80%),Support ecosystems and reduce global warming
مورينغا متساقط (Moringa - Deciduous),0.87,Winter,18-25,medium,Partial shade,Loamy,Support stems/trellis,Trim regularly for shape,870,Slow (40%),Support ecosystems and reduce global warming
برقوق بري سريع النمو (Wild plum - Fast Growing),1.29,Spring,20-24,medium,Indirect light,Sandy,Fertilize monthly,"Water at base, not foliage",1290,Fast (80%),Used in traditional herbal medicine
تفاح بري بلدي (Crabapple - Native),0.54,Winter,Oct-25,ground,Partial shade,Sandy,Mulch to retain moisture,"Water at base, not foliage",540,Medium (60%),Contains beneficial natural sugars
كافور عطر الأوراق (Eucalyptus - Aromatic Leaves),2.27,Summer,15-26,large,Indirect light,Sandy loam,Support stems/trellis,Protect from frost,2270,Fast (80%),Support ecosystems and reduce global warming
صنوبر سريع النمو (Pine - Fast Growing),0.62,Spring,20-29,ground,Indirect light,Clay,Mulch to retain moisture,Protect from frost,620,Medium-Fast (70%),Support ecosystems and reduce global warming
مورينغا عطر الأوراق (Moringa - Aromatic Leaves),1.67,Summer,Oct-29,ground,Indirect light,Sandy,Mulch to retain moisture,Trim regularly for shape,1670,Slow (40%),Provide shade and cool the environment
ليمون يوسفي سريع النمو (Lime - Fast Growing),1.33,Summer,Dec-35,medium,Full sun,Well-drained,Mulch to retain moisture,Protect from frost,1330,Fast (80%),Used in perfumes and decoration
تين شوكي عطر الأوراق (Prickly pear - Aromatic Leaves),0.31,Spring,19-27,medium,Partial shade,Sandy loam,Mulch to retain moisture,Protect from frost,310,Medium-Fast (70%),Helps prevent chronic diseases
صفصاف ساحلي (Willow - Coastal),2.02,Spring,Dec-24,ground,Full sun,Well-drained,Mulch to retain moisture,Keep soil evenly moist,2020,Medium-Fast (70%),Purify air and absorb pollutants
تفاح بري قزمي (Crabapple - Dwarf),0.89,Spring,20-36,medium,Indirect light,Loamy,Mulch to retain moisture,"Water at base, not foliage",890,Slow (40%),Boosts immunity and improves skin health
جكراندا قزمي (Jacaranda - Dwarf),0.6,Summer,16-35,large,Indirect light,Sandy,Fertilize monthly,Protect from frost,600,Medium (60%),Natural source of fiber for better digestion
أكاسيا ساحلي (Acacia - Coastal),3,Spring,17-28,medium,Full sun,Sandy loam,Support stems/trellis,Avoid overwatering,3000,Fast (80%),Enhance biodiversity and store carbon
كافور سريع النمو (Eucalyptus - Fast Growing),2.92,Autumn,14-26,ground,Partial shade,Clay,Support stems/trellis,Protect from frost,2920,Fast (80%),Provide shade and cool the environment
سرو عملاق (Cypress - Giant),0.92,Autumn,Dec-27,medium,Full sun,Well-drained,Support stems/trellis,Keep soil evenly moist,920,Fast (80%),Enhance biodiversity and store carbon
زيتون صحراوي (Olive - Desert),2.87,Spring,Oct-23,ground,Indirect light,Well-drained,Support stems/trellis,Protect from frost,2870,Medium (60%),Prevent soil erosion and retain moisture
مانغروف صحراوي (Mangrove - Desert),1.66,Spring,14-29,medium,Partial shade,Sandy loam,Mulch to retain moisture,Avoid overwatering,1660,Slow (40%),Purify air and absorb pollutants
زيتون جبلي (Olive - Mountain),1.87,Spring,14-26,ground,Indirect light,Sandy loam,Deadhead spent blooms,"Water at base, not foliage",1870,Slow (40%),Support ecosystems and reduce global warming
صنوبر بلدي (Pine - Native),0.9,Summer,13-22,medium,Partial shade,Sandy loam,Regular watering,Keep soil evenly moist,900,Medium (60%),Provide shade and cool the environment
سرو ظل كثيف (Cypress - Dense Shade),2.25,Winter,15-34,ground,Indirect light,Loamy,Fertilize monthly,"Water at base, not foliage",2250,Fast (80%),Prevent soil erosion and retain moisture
برقوق بري متساقط (Wild plum - Deciduous),1.05,Winter,18-26,large,Indirect light,Well-drained,Fertilize monthly,Protect from frost,1050,Medium-Fast (70%),Low in calories and ideal for diets
سرو صحراوي (Cypress - Desert),2.53,Spring,16-35,ground,Indirect light,Loamy,Deadhead spent blooms,Keep soil evenly moist,2530,Slow (40%),Purify air and absorb pollutants
زيتون عملاق (Olive - Giant),2.85,Summer,15-32,large,Indirect light,Loamy,Support stems/trellis,Trim regularly for shape,2850,Medium (60%),Enhance biodiversity and store carbon
بلوط عطر الأوراق (Oak - Aromatic Leaves),1.14,Spring,16-30,ground,Full sun,Well-drained,Fertilize monthly,Keep soil evenly moist,1140,Fast (80%),Provide shade and cool the environment
غاف جبلي (Prosopis - Mountain),2.08,Autumn,16-28,medium,Full sun,Well-drained,Deadhead spent blooms,Avoid overwatering,2080,Slow (40%),High in plant-based protein
تفاح بري سريع النمو (Crabapple - Fast Growing),2.23,Winter,18-36,large,Partial shade,Well-drained,Mulch to retain moisture,Protect from frost,2230,Medium (60%),High in vitamin C and antioxidants
أكاسيا عطر الأوراق (Acacia - Aromatic Leaves),0.86,Autumn,19-34,large,Partial shade,Well-drained,Mulch to retain moisture,"Water at base, not foliage",860,Medium-Fast (70%),Purify air and absorb pollutants
تين شوكي ظل كثيف (Prickly pear - Dense Shade),2.6,Summer,17-32,medium,Full sun,Well-drained,Mulch to retain moisture,Avoid overwatering,2600,Medium-Fast (70%),High in vitamin C and antioxidants
صفصاف سريع النمو (Willow - Fast Growing),1,Winter,17-36,medium,Partial shade,Sandy loam,Regular watering,Keep soil evenly moist,1000,Fast (80%),Purify air and absorb pollutants
قيقب ساحلي (Maple - Coastal),2.74,Summer,18-31,ground,Partial shade,Loamy,Fertilize monthly,Trim regularly for shape,2740,Fast (80%),Enhance biodiversity and store carbon
تين شوكي بلدي (Prickly pear - Native),1.29,Autumn,19-27,large,Full sun,Clay,Fertilize monthly,Trim regularly for shape,1290,Slow (40%),Contains beneficial natural sugars
صنوبر ظل كثيف (Pine - Dense Shade),2.22,Autumn,Oct-23,large,Full sun,Sandy,Deadhead spent blooms,Keep soil evenly moist,2220,Medium-Fast (70%),Provide shade and cool the environment
أكاسيا متساقط (Acacia - Deciduous),1.02,Winter,Nov-27,medium,Full sun,Loamy,Fertilize monthly,Protect from frost,1020,Medium (60%),Support ecosystems and reduce global warming
زيتون متساقط (Olive - Deciduous),2.18,Autumn,18-28,medium,Indirect light,Loamy,Mulch to retain moisture,Keep soil evenly moist,2180,Medium-Fast (70%),Provide shade and cool the environment
جكراندا سريع النمو (Jacaranda - Fast Growing),1.9,Spring,Nov-25,ground,Full sun,Well-drained,Deadhead spent blooms,Keep soil evenly moist,1900,Medium-Fast (70%),Natural source of fiber for better digestion
برقوق بري عملاق (Wild plum - Giant),1.74,Summer,14-26,ground,Full sun,Sandy loam,Support stems/trellis,Avoid overwatering,1740,Medium-Fast (70%),Fix nitrogen and enrich soil fertility
صفصاف أخضر دائم (Willow - Evergreen),2.91,Winter,18-24,ground,Partial shade,Sandy loam,Support stems/trellis,Avoid overwatering,2910,Medium (60%),Prevent soil erosion and retain moisture
مانغروف متساقط (Mangrove - Deciduous),2.86,Summer,18-33,ground,Full sun,Sandy,Support stems/trellis,Protect from frost,2860,Slow (40%),Purify air and absorb pollutants
برتقال مر جبلي (Bitter orange - Mountain),2.98,Spring,18-31,medium,Indirect light,Loamy,Regular watering,Trim regularly for shape,2980,Fast (80%),Helps prevent chronic diseases
نخيل ظل كثيف (Date palm - Dense Shade),1.86,Spring,20-36,large,Partial shade,Sandy loam,Mulch to retain moisture,Avoid overwatering,1860,Medium (60%),Prevent soil erosion and retain moisture
أكاسيا جبلي (Acacia - Mountain),0.97,Spring,15-28,ground,Partial shade,Clay,Fertilize monthly,Keep soil evenly moist,970,Fast (80%),Support ecosystems and reduce global warming
برتقال مر ظل كثيف (Bitter orange - Dense Shade),0.32,Autumn,Oct-22,medium,Full sun,Loamy,Regular watering,Trim regularly for shape,320,Fast (80%),Contains beneficial natural sugars
صفصاف ظل كثيف (Willow - Dense Shade),0.87,Spring,14-30,medium,Indirect light,Clay,Deadhead spent blooms,Avoid overwatering,870,Medium-Fast (70%),Support ecosystems and reduce global warming
كافور قزمي (Eucalyptus - Dwarf),1.99,Winter,15-33,medium,Full sun,Sandy loam,Regular watering,"Water at base, not foliage",1990,Medium-Fast (70%),Support ecosystems and reduce global warming
سرو أخضر دائم (Cypress - Evergreen),0.57,Autumn,Nov-23,medium,Full sun,Well-drained,Deadhead spent blooms,Trim regularly for shape,570,Medium-Fast (70%),Provide shade and cool the environment
